ID,Player,Team,Position,Year,Week,Home,Atts,Comps,Comp %,Yards,Yards per Att,Yards per Comp,Ints,TDs,Two Pts,Two Pt Atts,Tgt,Rec,Rec %,Yards,Yards per Tgt,Yards per Rec,Yards after Catch,TDs,Two Pts,Carries,Yards,YPC,Yards after Catch,TDs,Two Pts,Fumbles,Fumbles Lost,Fantasy Pts,passingAttsGm,passingCmpsGm,passingCmpPerGm,passingYardsGm,passingIntsGm,passingTDsGm,passingTwoPtsGm,passingTwoPtAttsGm,yardsPerAttGm,yardsPerCmpGm,receivingTargetsGm,receivingReceptionsGm,receivingYardsGm,receivingYardsAfterCatchGm,receivingTDsGm,receivingTwoPtsGm,catchPerGm,yardsPerTarGm,yardsPerCatGm,rushingAttemptsGm,rushingYardsGm,rushingYardsAfterContactGm,rushingTDsGm,rushingTwoPtsGm,yardsPerCarryGm,fumblesGm,fumblesLostGm,fantasyPtsGmattemptsTot,completionsTot,pYardsTot,interceptionsTot,pTdsTot,pTwoPtsTot,pTwoPtAttsTot,targetsTot,receptionsTot,rYardsTot,yardsAfterCatchTot,rTdsTot,rTwoPtsTot,carriesTot,ruYardsTot,yardsAfterContactTot,ruTdsTot,ruTwoPtsTot,fumblesTot,fumblesLostTot,fantasyPtsTotal
00-0027854,Sam Bradford,MIN,QB,2017,1,TRUE,31,26,0,344,11,13,0,3,0,0,0,0,0,0,0,0,0,0,0,2,-3,-1,0,0,0,0,0,25.46,31,26,1.192307692,344,0,3,0,0,11.09677419,13.23076923,0,0,0,0,0,0,NaN,NaN,NaN,2,-3,0,0,0,-0.096774194,0,0,25.45999999999999731.0,26,344,0,3,0,0,0,0,0,0,0,0,2,-3,0,0,0,0,0,25.46
00-0027873,Jermaine Gresham,ARI,TE,2017,1,FALSE,0,0,0,0,0,0,0,0,0,0,4,3,0,15,3,0,4,0,0,0,0,0,0,0,0,0,0,1.5,0,0,NaN,0,0,0,0,0,NaN,NaN,4,3,15,4,0,0,0.75,3.75,5,0,0,0,0,0,NaN,0,0,1.50.0,0,0,0,0,0,0,4,3,15,4,0,0,0,0,0,0,0,0,0,1.5
00-0027874,Demaryius Thomas,DEN,WR,2017,1,TRUE,0,0,0,0,0,0,0,0,0,0,8,5,0,67,8,0,13,0,0,0,0,0,0,0,0,0,0,6.7,0,0,NaN,0,0,0,0,0,NaN,NaN,8,5,67,13,0,0,0.625,8.375,13.4,0,0,0,0,0,NaN,0,0,6.70.0,0,0,0,0,0,0,8,5,67,13,0,0,0,0,0,0,0,0,0,6.7
00-0027891,Golden Tate,DET,WR,2017,1,TRUE,0,0,0,0,0,0,0,0,0,0,12,10,0,107,8,0,43,0,0,2,7,3,0,0,0,0,0,11.4,0,0,NaN,0,0,0,0,0,NaN,NaN,12,10,107,43,0,0,0.833333333,8.916666667,10.7,2,7,0,0,0,Infinity,0,0,11.40.0,0,0,0,0,0,0,12,10,107,43,0,0,2,7,0,0,0,0,0,11.4
00-0027902,Dez Bryant,DAL,WR,2017,1,TRUE,0,0,0,0,0,0,0,0,0,0,9,2,0,43,4,0,27,0,0,0,0,0,0,0,0,0,0,4.3,0,0,NaN,0,0,0,0,0,NaN,NaN,9,2,43,27,0,0,0.222222222,4.777777778,21.5,0,0,0,0,0,NaN,0,0,4.30.0,0,0,0,0,0,0,9,2,43,27,0,0,0,0,0,0,0,0,0,4.3
00-0027939,Cam Newton,CAR,QB,2017,1,FALSE,25,14,0,171,6,12,1,2,0,0,0,0,0,0,0,0,0,0,0,6,3,0,0,0,0,1,0,12.14,25,14,1.785714286,171,1,2,0,0,6.84,12.21428571,0,0,0,0,0,0,NaN,NaN,NaN,6,3,0,0,0,0.12,1,0,12.1425.0,14,171,1,2,0,0,0,0,0,0,0,0,6,3,0,0,0,1,0,12.14
00-0027942,A.J. Green,CIN,WR,2017,1,TRUE,0,0,0,0,0,0,0,0,0,0,10,5,0,74,7,0,20,0,0,0,0,0,0,0,0,0,0,7.4,0,0,NaN,0,0,0,0,0,NaN,NaN,10,5,74,20,0,0,0.5,7.4,14.8,0,0,0,0,0,NaN,0,0,7.40.0,0,0,0,0,0,0,10,5,74,20,0,0,0,0,0,0,0,0,0,7.4
00-0027944,Julio Jones,ATL,WR,2017,1,FALSE,0,0,0,0,0,0,0,0,0,0,5,4,0,66,13,0,28,0,0,0,0,0,0,0,0,0,0,6.6,0,0,NaN,0,0,0,0,0,NaN,NaN,5,4,66,28,0,0,0.8,13.2,16.5,0,0,0,0,0,NaN,0,0,6.60000000000000050.0,0,0,0,0,0,0,5,4,66,28,0,0,0,0,0,0,0,0,0,6.6
00-0027966,Mark Ingram,NO,RB,2017,1,FALSE,0,0,0,0,0,0,0,0,0,0,5,5,1,54,10,0,53,0,0,6,17,2,0,0,0,0,0,7.1,0,0,NaN,0,0,0,0,0,NaN,NaN,5,5,54,53,0,0,1,10.8,10.8,6,17,0,0,0,Infinity,0,0,7.10000000000000050.0,0,0,0,0,0,0,5,5,54,53,0,0,6,17,0,0,0,0,0,7.1
00-0027973,Andy Dalton,CIN,QB,2017,1,TRUE,31,16,0,170,5,10,4,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,0,0,0,1,1,-3,31,16,1.9375,170,4,0,0,0,5.483870968,10.625,0,0,0,0,0,0,NaN,NaN,NaN,1,2,0,0,0,0.064516129,1,1,-3.031.0,16,170,4,0,0,0,0,0,0,0,0,0,1,2,0,0,0,1,1,-3
00-0027981,Kyle Rudolph,MIN,TE,2017,1,TRUE,0,0,0,0,0,0,0,0,0,0,3,3,1,26,8,0,3,1,0,0,0,0,0,0,0,0,0,8.6,0,0,NaN,0,0,0,0,0,NaN,NaN,3,3,26,3,1,0,1,8.666666667,8.666666667,0,0,0,1,0,NaN,0,0,8.60.0,0,0,0,0,0,0,3,3,26,3,1,0,0,0,0,0,0,0,0,8.6
00-0027985,Lance Kendricks,GB,TE,2017,1,TRUE,0,0,0,0,0,0,0,0,0,0,4,2,0,18,4,0,6,0,0,0,0,0,0,0,0,0,0,1.8,0,0,NaN,0,0,0,0,0,NaN,NaN,4,2,18,6,0,0,0.5,4.5,9,0,0,0,0,0,NaN,0,0,1.80.0,0,0,0,0,0,0,4,2,18,6,0,0,0,0,0,0,0,0,0,1.8
00-0027994,Shane Vereen,NYG,RB,2017,1,FALSE,0,0,0,0,0,0,0,0,0,0,10,9,0,51,5,0,42,0,0,0,0,0,0,0,0,0,0,5.1,0,0,NaN,0,0,0,0,0,NaN,NaN,10,9,51,42,0,0,0.9,5.1,5.666666667,0,0,0,0,0,NaN,0,0,5.10000000000000050.0,0,0,0,0,0,0,10,9,51,42,0,0,0,0,0,0,0,0,0,5.1
00-0027996,Torrey Smith,PHI,WR,2017,1,FALSE,0,0,0,0,0,0,0,0,0,0,3,1,0,30,10,0,15,0,0,0,0,0,0,0,0,0,0,3,0,0,NaN,0,0,0,0,0,NaN,NaN,3,1,30,15,0,0,0.333333333,10,30,0,0,0,0,0,NaN,0,0,3.00.0,0,0,0,0,0,0,3,1,30,15,0,0,0,0,0,0,0,0,0,3
00-0028002,Randall Cobb,GB,WR,2017,1,TRUE,0,0,0,0,0,0,0,0,0,0,13,9,0,85,6,0,66,0,0,0,0,0,0,0,0,0,0,8.5,0,0,NaN,0,0,0,0,0,NaN,NaN,13,9,85,66,0,0,0.692307692,6.538461538,9.444444444,0,0,0,0,0,NaN,0,0,8.50.0,0,0,0,0,0,0,13,9,85,66,0,0,0,0,0,0,0,0,0,8.5
00-0028009,DeMarco Murray,TEN,RB,2017,1,TRUE,0,0,0,0,0,0,0,0,0,0,2,2,1,16,8,0,9,0,0,12,44,3,0,0,0,0,0,6,0,0,NaN,0,0,0,0,0,NaN,NaN,2,2,16,9,0,0,1,8,8,12,44,0,0,0,Infinity,0,0,6.00.0,0,0,0,0,0,0,2,2,16,9,0,0,12,44,0,0,0,0,0,6
00-0028063,Taiwan Jones,BUF,RB,2017,1,TRUE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN,0,0,0,0,0,NaN,NaN,0,0,0,0,0,0,NaN,NaN,NaN,0,0,0,0,0,NaN,0,0,0.00.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
00-0028064,Bilal Powell,NYJ,RB,2017,1,FALSE,0,0,0,0,0,0,0,0,0,0,6,5,0,17,2,0,20,0,0,7,22,3,0,0,0,0,0,3.9,0,0,NaN,0,0,0,0,0,NaN,NaN,6,5,17,20,0,0,0.833333333,2.833333333,3.4,7,22,0,0,0,Infinity,0,0,3.90000000000000040.0,0,0,0,0,0,0,6,5,17,20,0,0,7,22,0,0,0,0,0,3.9
00-0028087,Dion Lewis,NE,RB,2017,1,TRUE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,9,4,0,0,0,0,0,0.9,0,0,NaN,0,0,0,0,0,NaN,NaN,0,0,0,0,0,0,NaN,NaN,NaN,2,9,0,0,0,Infinity,0,0,0.90.0,0,0,0,0,0,0,0,0,0,0,0,0,2,9,0,0,0,0,0,0.9
00-0028112,Charles Clay,BUF,TE,2017,1,TRUE,0,0,0,0,0,0,0,0,0,0,9,4,0,53,5,0,24,1,0,0,0,0,0,0,0,0,0,11.3,0,0,NaN,0,0,0,0,0,NaN,NaN,9,4,53,24,1,0,0.444444444,5.888888889,13.25,0,0,0,1,0,NaN,0,0,11.30.0,0,0,0,0,0,0,9,4,53,24,1,0,0,0,0,0,0,0,0,11.3
00-0028114,Dwayne Harris,NYG,WR,2017,1,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN,0,0,0,0,0,NaN,NaN,0,0,0,0,0,0,NaN,NaN,NaN,0,0,0,0,0,NaN,0,0,0.00.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
00-0028116,Aldrick Robinson,SF,WR,2017,1,TRUE,0,0,0,0,0,0,0,0,0,0,2,1,0,7,3,0,3,0,0,0,0,0,0,0,0,0,0,0.7,0,0,NaN,0,0,0,0,0,NaN,NaN,2,1,7,3,0,0,0.5,3.5,7,0,0,0,0,0,NaN,0,0,0.70000000000000010.0,0,0,0,0,0,0,2,1,7,3,0,0,0,0,0,0,0,0,0,0.7
00-0028118,Tyrod Taylor,BUF,QB,2017,1,TRUE,28,16,0,224,8,14,1,2,0,0,0,0,0,0,0,0,0,0,0,8,38,4,0,0,0,0,0,18.76,28,16,1.75,224,1,2,0,0,8,14,0,0,0,0,0,0,NaN,NaN,NaN,8,38,0,0,0,1.357142857,0,0,18.7628.0,16,224,1,2,0,0,0,0,0,0,0,0,8,38,0,0,0,0,0,18.76
00-0028142,Virgil Green,DEN,TE,2017,1,TRUE,0,0,0,0,0,0,0,0,0,0,1,1,1,44,44,0,19,0,0,0,0,0,0,0,0,0,0,4.4,0,0,NaN,0,0,0,0,0,NaN,NaN,1,1,44,19,0,0,1,44,44,0,0,0,0,0,NaN,0,0,4.40.0,0,0,0,0,0,0,1,1,44,19,0,0,0,0,0,0,0,0,0,4.4
00-0028237,Chris Hogan,NE,WR,2017,1,TRUE,0,0,0,0,0,0,0,0,0,0,5,1,0,8,1,0,6,0,0,3,17,5,0,0,0,0,0,2.5,0,0,NaN,0,0,0,0,0,NaN,NaN,5,1,8,6,0,0,0.2,1.6,8,3,17,0,0,0,Infinity,0,0,2.50.0,0,0,0,0,0,0,5,1,8,6,0,0,3,17,0,0,0,0,0,2.5
00-0028263,Andre Holmes,BUF,WR,2017,1,TRUE,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,6.1,0,0,NaN,0,0,0,0,0,NaN,NaN,1,1,1,1,1,0,1,1,1,0,0,0,1,0,NaN,0,0,6.10.0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,6.1
00-0028434,Doug Baldwin,SEA,WR,2017,1,FALSE,0,0,0,0,0,0,0,0,0,0,4,4,1,63,15,0,10,0,0,1,-3,-3,0,0,0,0,0,6,0,0,NaN,0,0,0,0,0,NaN,NaN,4,4,63,10,0,0,1,15.75,15.75,1,-3,0,0,0,#NAME?,0,0,6.0000000000000010.0,0,0,0,0,0,0,4,4,63,10,0,0,1,-3,0,0,0,0,0,6
00-0028497,Kamar Aiken,IND,WR,2017,1,FALSE,0,0,0,0,0,0,0,0,0,0,2,1,0,3,1,0,1,0,0,0,0,0,0,0,0,0,0,0.3,0,0,NaN,0,0,0,0,0,NaN,NaN,2,1,3,1,0,0,0.5,1.5,3,0,0,0,0,0,NaN,0,0,0.300000000000000040.0,0,0,0,0,0,0,2,1,3,1,0,0,0,0,0,0,0,0,0,0.3
00-0028581,Patrick DiMarco,BUF,RB,2017,1,TRUE,0,0,0,0,0,0,0,0,0,0,1,1,1,5,5,0,4,0,0,0,0,0,0,0,0,0,0,0.5,0,0,NaN,0,0,0,0,0,NaN,NaN,1,1,5,4,0,0,1,5,5,0,0,0,0,0,NaN,0,0,0.50.0,0,0,0,0,0,0,1,1,5,4,0,0,0,0,0,0,0,0,0,0.5
00-0028595,Scott Tolzien,IND,QB,2017,1,FALSE,18,9,0,128,7,14,2,0,0,0,0,0,0,0,0,0,0,0,0,2,2,1,0,0,0,1,0,0.32,18,9,2,128,2,0,0,0,7.111111111,14.22222222,0,0,0,0,0,0,NaN,NaN,NaN,2,2,0,0,0,0.111111111,1,0,0.3200000000000000618.0,9,128,2,0,0,0,0,0,0,0,0,0,2,2,0,0,0,1,0,0.32
00-0028825,Terrelle Pryor,WAS,WR,2017,1,TRUE,0,0,0,0,0,0,0,0,0,0,11,6,0,66,6,0,28,0,0,0,0,0,0,0,0,0,0,6.6,0,0,NaN,0,0,0,0,0,NaN,NaN,11,6,66,28,0,0,0.545454545,6,11,0,0,0,0,0,NaN,0,0,6.60000000000000050.0,0,0,0,0,0,0,11,6,66,28,0,0,0,0,0,0,0,0,0,6.6
00-0029000,Cole Beasley,DAL,WR,2017,1,TRUE,0,0,0,0,0,0,0,0,0,0,5,3,0,32,6,0,7,0,0,0,0,0,0,0,0,0,0,3.2,0,0,NaN,0,0,0,0,0,NaN,NaN,5,3,32,7,0,0,0.6,6.4,10.66666667,0,0,0,0,0,NaN,0,0,3.20.0,0,0,0,0,0,0,5,3,32,7,0,0,0,0,0,0,0,0,0,3.2
00-0029119,Derek Carrier,LA,TE,2017,1,TRUE,0,0,0,0,0,0,0,0,0,0,2,1,0,12,6,0,10,0,0,0,0,0,0,0,0,0,0,1.2,0,0,NaN,0,0,0,0,0,NaN,NaN,2,1,12,10,0,0,0.5,6,12,0,0,0,0,0,NaN,0,0,1.20000000000000020.0,0,0,0,0,0,0,2,1,12,10,0,0,0,0,0,0,0,0,0,1.2
00-0029137,Alshon Jeffery,PHI,WR,2017,1,FALSE,0,0,0,0,0,0,0,0,0,0,7,3,0,38,5,0,18,0,0,0,0,0,0,0,0,0,0,3.8,0,0,NaN,0,0,0,0,0,NaN,NaN,7,3,38,18,0,0,0.428571429,5.428571429,12.66666667,0,0,0,0,0,NaN,0,0,3.80000000000000030.0,0,0,0,0,0,0,7,3,38,18,0,0,0,0,0,0,0,0,0,3.8
00-0029141,Alfred Morris,DAL,RB,2017,1,TRUE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0.1,0,0,NaN,0,0,0,0,0,NaN,NaN,0,0,0,0,0,0,NaN,NaN,NaN,4,1,0,0,0,Infinity,0,0,0.10.0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0.1
00-0029159,Jermaine Kearse,NYJ,WR,2017,1,FALSE,0,0,0,0,0,0,0,0,0,0,9,7,0,59,6,0,13,0,0,0,0,0,0,0,0,0,0,5.9,0,0,NaN,0,0,0,0,0,NaN,NaN,9,7,59,13,0,0,0.777777778,6.555555556,8.428571429,0,0,0,0,0,NaN,0,0,5.90.0,0,0,0,0,0,0,9,7,59,13,0,0,0,0,0,0,0,0,0,5.9
00-0029239,Brandon Bolden,NE,RB,2017,1,TRUE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN,0,0,0,0,0,NaN,NaN,0,0,0,0,0,0,NaN,NaN,NaN,0,0,0,0,0,NaN,0,0,0.00.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
00-0029263,Russell Wilson,SEA,QB,2017,1,FALSE,27,14,0,158,5,11,0,0,0,0,0,0,0,0,0,0,0,0,0,2,40,20,0,0,0,1,1,8.32,27,14,1.928571429,158,0,0,0,0,5.851851852,11.28571429,0,0,0,0,0,0,NaN,NaN,NaN,2,40,0,0,0,1.481481481,1,1,8.3227.0,14,158,0,0,0,0,0,0,0,0,0,0,2,40,0,0,0,1,1,8.32
00-0029269,Travis Benjamin,LAC,WR,2017,1,FALSE,0,0,0,0,0,0,0,0,0,0,4,3,0,43,10,0,15,1,0,0,0,0,0,0,0,0,0,10.3,0,0,NaN,0,0,0,0,0,NaN,NaN,4,3,43,15,1,0,0.75,10.75,14.33333333,0,0,0,1,0,NaN,0,0,10.30.0,0,0,0,0,0,0,4,3,43,15,1,0,0,0,0,0,0,0,0,10.3
00-0029273,Robert Turbin,IND,RB,2017,1,FALSE,0,0,0,0,0,0,0,0,0,0,1,1,1,-4,-4,0,0,0,0,2,7,3,0,0,0,0,0,0.3,0,0,NaN,0,0,0,0,0,NaN,NaN,1,1,-4,0,0,0,1,-4,-4,2,7,0,0,0,Infinity,0,0,0.300000000000000040.0,0,0,0,0,0,0,1,1,-4,0,0,0,2,7,0,0,0,0,0,0.3
00-0029293,Marvin Jones,DET,WR,2017,1,TRUE,0,0,0,0,0,0,0,0,1,0,2,2,1,37,18,0,11,1,0,0,0,0,0,0,0,0,0,11.7,0,0,NaN,0,0,0,1,0,NaN,NaN,2,2,37,11,1,0,1,18.5,18.5,0,0,0,1,0,NaN,0,0,11.70.0,0,0,0,0,1,0,2,2,37,11,1,0,0,0,0,0,0,0,0,11.7
00-0029319,Josh Bellamy,CHI,WR,2017,1,TRUE,0,0,0,0,0,0,0,0,0,0,4,3,0,27,6,0,8,0,0,0,0,0,0,0,0,0,0,2.7,0,0,NaN,0,0,0,0,0,NaN,NaN,4,3,27,8,0,0,0.75,6.75,9,0,0,0,0,0,NaN,0,0,2.70.0,0,0,0,0,0,0,4,3,27,8,0,0,0,0,0,0,0,0,0,2.7
00-0029388,Deonte Thompson,CHI,WR,2017,1,TRUE,0,0,0,0,0,0,0,0,0,0,2,1,0,15,7,0,0,0,0,0,0,0,0,0,0,1,0,0.5,0,0,NaN,0,0,0,0,0,NaN,NaN,2,1,15,0,0,0,0.5,7.5,15,0,0,0,0,0,NaN,1,0,0.50.0,0,0,0,0,0,0,2,1,15,0,0,0,0,0,0,0,0,1,0,0.5
00-0029572,Jarius Wright,MIN,WR,2017,1,TRUE,0,0,0,0,0,0,0,0,0,0,2,1,0,21,10,0,4,0,0,0,0,0,0,0,0,0,0,2.1,0,0,NaN,0,0,0,0,0,NaN,NaN,2,1,21,4,0,0,0.5,10.5,21,0,0,0,0,0,NaN,0,0,2.10.0,0,0,0,0,0,0,2,1,21,4,0,0,0,0,0,0,0,0,0,2.1
00-0029580,Rishard Matthews,TEN,WR,2017,1,TRUE,0,0,0,0,0,0,0,0,0,0,9,5,0,71,7,0,14,0,0,0,0,0,0,0,0,0,0,7.1,0,0,NaN,0,0,0,0,0,NaN,NaN,9,5,71,14,0,0,0.555555556,7.888888889,14.2,0,0,0,0,0,NaN,0,0,7.10000000000000050.0,0,0,0,0,0,0,9,5,71,14,0,0,0,0,0,0,0,0,0,7.1
00-0029587,Rhett Ellison,NYG,TE,2017,1,FALSE,0,0,0,0,0,0,0,0,0,0,1,1,1,9,9,0,7,0,0,0,0,0,0,0,0,0,0,0.9,0,0,NaN,0,0,0,0,0,NaN,NaN,1,1,9,7,0,0,1,9,9,0,0,0,0,0,NaN,0,0,0.90.0,0,0,0,0,0,0,1,1,9,7,0,0,0,0,0,0,0,0,0,0.9
00-0029604,Kirk Cousins,WAS,QB,2017,1,TRUE,40,23,0,240,6,10,1,1,0,0,0,0,0,0,0,0,0,0,0,4,30,7,0,0,0,2,2,10.6,40,23,1.739130435,240,1,1,0,0,6,10.43478261,0,0,0,0,0,0,NaN,NaN,NaN,4,30,0,0,0,0.75,2,2,10.640.0,23,240,1,1,0,0,0,0,0,0,0,0,4,30,0,0,0,2,2,10.6
00-0029608,T.Y. Hilton,IND,WR,2017,1,FALSE,0,0,0,0,0,0,0,0,0,0,7,3,0,57,8,0,9,0,0,0,0,0,0,0,0,1,1,3.7,0,0,NaN,0,0,0,0,0,NaN,NaN,7,3,57,9,0,0,0.428571429,8.142857143,19,0,0,0,0,0,NaN,1,1,3.70.0,0,0,0,0,0,0,7,3,57,9,0,0,0,0,0,0,0,1,1,3.7
00-0029615,Lamar Miller,HOU,RB,2017,1,TRUE,0,0,0,0,0,0,0,0,0,0,2,2,1,31,15,0,21,0,0,17,65,3,0,0,0,0,0,9.6,0,0,NaN,0,0,0,0,0,NaN,NaN,2,2,31,21,0,0,1,15.5,15.5,17,65,0,0,0,Infinity,0,0,9.60.0,0,0,0,0,0,0,2,2,31,21,0,0,17,65,0,0,0,0,0,9.6
00-0029632,Mohamed Sanu,ATL,WR,2017,1,FALSE,0,0,0,0,0,0,0,0,0,0,9,6,0,47,5,0,8,0,0,0,0,0,0,0,0,0,0,4.7,0,0,NaN,0,0,0,0,0,NaN,NaN,9,6,47,8,0,0,0.666666667,5.222222222,7.833333333,0,0,0,0,0,NaN,0,0,4.70.0,0,0,0,0,0,0,9,6,47,8,0,0,0,0,0,0,0,0,0,4.7
00-0029640,Brian Quick,WAS,WR,2017,1,TRUE,0,0,0,0,0,0,0,0,0,0,1,1,1,11,11,0,1,0,0,0,0,0,0,0,0,0,0,1.1,0,0,NaN,0,0,0,0,0,NaN,NaN,1,1,11,1,0,0,1,11,11,0,0,0,0,0,NaN,0,0,1.10.0,0,0,0,0,0,0,1,1,11,1,0,0,0,0,0,0,0,0,0,1.1
00-0029689,Dwayne Allen,NE,TE,2017,1,TRUE,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN,0,0,0,0,0,NaN,NaN,2,0,0,0,0,0,0,0,NaN,0,0,0,0,0,NaN,0,0,0.00.0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
00-0029697,Coby Fleener,NO,TE,2017,1,FALSE,0,0,0,0,0,0,0,0,0,0,6,5,0,54,9,0,12,1,0,0,0,0,0,0,0,0,0,11.4,0,0,NaN,0,0,0,0,0,NaN,NaN,6,5,54,12,1,0,0.833333333,9,10.8,0,0,0,1,0,NaN,0,0,11.40.0,0,0,0,0,0,0,6,5,54,12,1,0,0,0,0,0,0,0,0,11.4
00-0029708,Kendall Wright,CHI,WR,2017,1,TRUE,0,0,0,0,0,0,0,0,0,0,4,3,0,34,8,0,16,0,0,0,0,0,0,0,0,0,0,3.4,0,0,NaN,0,0,0,0,0,NaN,NaN,4,3,34,16,0,0,0.75,8.5,11.33333333,0,0,0,0,0,NaN,0,0,3.40000000000000040.0,0,0,0,0,0,0,4,3,34,16,0,0,0,0,0,0,0,0,0,3.4
00-0029731,Fozzy Whittaker,CAR,RB,2017,1,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0.1,0,0,NaN,0,0,0,0,0,NaN,NaN,0,0,0,0,0,0,NaN,NaN,NaN,1,1,0,0,0,Infinity,0,0,0.10.0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0.1
00-0029740,Ifeanyi Momah,ARI,TE,2017,1,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN,0,0,0,0,0,NaN,NaN,0,0,0,0,0,0,NaN,NaN,NaN,0,0,0,0,0,NaN,0,0,0.00.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
00-0029795,Benny Cunningham,CHI,RB,2017,1,TRUE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN,0,0,0,0,0,NaN,NaN,0,0,0,0,0,0,NaN,NaN,NaN,0,0,0,0,0,NaN,0,0,0.00.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
00-0029854,C.J. Anderson,DEN,RB,2017,1,TRUE,0,0,0,0,0,0,0,0,0,0,3,1,0,7,2,0,8,0,0,20,81,4,0,0,0,0,0,8.8,0,0,NaN,0,0,0,0,0,NaN,NaN,3,1,7,8,0,0,0.333333333,2.333333333,7,20,81,0,0,0,Infinity,0,0,8.7999999999999990.0,0,0,0,0,0,0,3,1,7,8,0,0,20,81,0,0,0,0,0,8.8
00-0030035,Adam Thielen,MIN,WR,2017,1,TRUE,0,0,0,0,0,0,0,0,0,0,10,9,0,157,15,0,65,0,0,0,0,0,0,0,0,0,0,15.7,0,0,NaN,0,0,0,0,0,NaN,NaN,10,9,157,65,0,0,0.9,15.7,17.44444444,0,0,0,0,0,NaN,0,0,15.7000000000000010.0,0,0,0,0,0,0,10,9,157,65,0,0,0,0,0,0,0,0,0,15.7
00-0030061,Zach Ertz,PHI,TE,2017,1,FALSE,0,0,0,0,0,0,0,0,0,0,8,8,1,93,11,0,15,0,0,0,0,0,0,0,0,0,0,9.3,0,0,NaN,0,0,0,0,0,NaN,NaN,8,8,93,15,0,0,1,11.625,11.625,0,0,0,0,0,NaN,0,0,9.30.0,0,0,0,0,0,0,8,8,93,15,0,0,0,0,0,0,0,0,0,9.3
00-0030068,Marquise Goodwin,SF,WR,2017,1,TRUE,0,0,0,0,0,0,0,0,0,0,6,3,0,21,3,0,1,0,0,0,0,0,0,0,0,0,0,2.1,0,0,NaN,0,0,0,0,0,NaN,NaN,6,3,21,1,0,0,0.5,3.5,7,0,0,0,0,0,NaN,0,0,2.10.0,0,0,0,0,0,0,6,3,21,1,0,0,0,0,0,0,0,0,0,2.1
00-0030089,Luke Willson,SEA,TE,2017,1,FALSE,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN,0,0,0,0,0,NaN,NaN,1,0,0,0,0,0,0,0,NaN,0,0,0,0,0,NaN,0,0,0.00.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
00-0030107,Theo Riddick,DET,RB,2017,1,TRUE,0,0,0,0,0,0,0,0,0,0,7,6,0,27,3,0,19,1,0,1,-1,-1,0,0,0,0,0,8.6,0,0,NaN,0,0,0,0,0,NaN,NaN,7,6,27,19,1,0,0.857142857,3.857142857,4.5,1,-1,0,1,0,#NAME?,0,0,8.60.0,0,0,0,0,0,0,7,6,27,19,1,0,1,-1,0,0,0,0,0,8.6
